paquete;destino;pedido;fecha;númer
900000000175676539;MAD;12230102;09/04/2026;1
900000000175675426;MAD;12230102;09/04/2026;2
000000000176544438;MAD;12230102;09/04/2026;3
000000000176544124;MAD;12230102;09/04/2026;4
000000000176544100;MAD;12230102;09/04/2026;5
000000000176544070;MAD;12230102;09/04/2026;6
000000000176543981;MAD;12230102;09/04/2026;7
000000000176543912;MAD;12230102;09/04/2026;8
000000000176543684;MAD;12230102;09/04/2026;9
000000000176543622;MAD;12230102;09/04/2026;10
000000000176543561;MAD;12230102;09/04/2026;11
000000000176543530;MAD;12230102;09/04/2026;12
000000000176543493;MAD;12230102;09/04/2026;13
000000000176543479;MAD;12230102;09/04/2026;14
000000000176543448;MAD;12230102;09/04/2026;15
000000000176543288;MAD;12230102;09/04/2026;16
000000000176543240;MAD;12230102;09/04/2026;17
000000000176542960;MAD;12230102;09/04/2026;18
000000000176542670;MAD;12230102;09/04/2026;19
000000000176542649;MAD;12230102;09/04/2026;20
000000000176542650;AMS;12230105;10/04/2026;1
000000000176542651;AMS;12230105;10/04/2026;2
000000000176542652;AMS;12230105;10/04/2026;3
